A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
C-02-11,Please write down his name.,iktib ismo hon min vaDhlak,أكتب أسمو هون من فضلك.
C-02-12,Show us the leader.,in’at ilnaa ish shayKh,أنعت ألنا الشيخ.
C-02-13,How many men and women live in this community?,kam min Raazhil o imRah saakneen v Tha il Hay?,كم من راجل وأمره ساكنين فذ الحيْ؟
C-02-14,How many children live here?,kam min itiRkeh saakneen v Tha il Hay?,كم من تركه ساكنين فذ الحيْ؟
C-02-15,Are there schools here for the children?,veeh madRaseh hon lit tiRkeh?,فيه مدرسه هون للتركه؟
C-02-16,Is there enough potable water for the people?,hon veeh min ilmeh ilee yinshRab ilee kaavee in naas?,هون فيه من ألم اللي ينشرب أللي كافي الناس؟
C-02-17,Is there a water well?,hon maa veeh Haasee lilmeh?,هون ما فيه حاسي للماء؟
C-02-18,Is there a public fountain?,hon maa veeh Sabaabeh lilmeh?,هون ما فيه صبابه للماء؟
C-02-19,Are there any medics here?,hon maa veeh aTibaa?,هون ما فيه أطباء؟
C-02-20,Are there any engineers?,hon maa veeh mohandiseen?,هون ما فيه مهندسين؟
C-02-21,Are there any teachers?,hon maa veeh gaRaayeh?,هون ما فيه كٌرايه؟
C-02-22,Are there empty buildings here?,hon maa veeh ‘imaaRaat maahee maskooneh?,هون ما فيه عمارات ماهي مسكونه؟
C-02-23,Is there a local police force?,hon maa veeh qoowaat min ish shiRTah?,هون ما فيه قوات من الشرطه؟
C-02-24,Who is responsible for public safety here?,minhowa il mas-ool ‘an il amin il ‘aam?,منهو المسؤول عن الأمن العام؟
C-02-25,Whose responsibility is fire protection?,minhowa il mas-ool ‘an il Himaayeh min liHReegeh?,منهو المسؤول عن الحماية من الحريقٌه؟
C-02-26,Do you have fire fighting equipment?,‘indak aalaat Tavee liHReegeh?,عندك آلات طفي الحريقٌه؟
C-02-27,Do you have a fire engine?,‘indak makeeneh lin naaR?,عندك مكينه للنار؟
C-02-28,Who do you call in case of an accident?,inta titaSal a’la min elayn yiKhleg lak Haadith?,أنت تتصل أعل من إلين يخلقٌ لك حادث؟
C-02-29,Are there operational emergency vehicles here?,hon maa veeh wataat lilHaalaat il mosta’zhaleh?,هون مافيه وتات للحالات المستعجله؟
C-02-30,How many telephones do you have in the area?,kam min talefon ‘indak vil kaRteeyeh?,كم من تلفون عندك ف الكرتيَ؟
C-02-31,How many homes have telephones here?,kam min daaR hon veeha talefon?,كم من دار هون فيها تلفون؟
C-02-32,Is there a functioning police station?,hon maa veeh komeeseRyah lil polees tishitghal?,هون ما فيه كوميسيريا للبوليس تشتغل؟
C-02-33,How many personnel are still on the job?,kam min aRgaazh mazaalo v ishaghleh?,كم من آركٌاج مزالو ف الشغله؟
C-02-34,What’s the means of communication?,shinheeyeh wasaayil liteeSaal?,شنهي وسائل الإتصال؟
C-02-35,Can the police station function normally without U.S. assistance?,mindRah kaan komeeseRyah ipolees itgid tishitghal noRmaal ibdoon mosaa’adit amReek?,مندرا كان كوميسيريا أبوليس أتكٌد تشتغل نورمال بدون مساعدة آمريك؟
C-02-36,Can U.S. forces depend on the local police to perform their duties as needed?,mindRah kaan il qoowaat il ameReekeeyeh itgid ti’tamad i’la ipolees v taa-deeyit mahaamha?,مندرا كان القوات الأمريكيه أتكٌد تعتمد أعلَ أبوليس ف تأدية مهاهها؟
C-02-37,How many vehicles are available?,kam min wateh hon Saaybeh?,كم من وته هون صايبه؟
C-02-38,What is the telephone number?,shinhowa Raqim it talefon?,شنهو رقم التلفون؟
C-02-39,Do you use radio communications?,inta tistaKhdam il mowaaSalaat b iRadjo?,أنت تستخدم المواصلات ب أرادو؟
C-03-01,Is there a medical facility nearby?,hon maa veeh Tab wala ‘eeyaadeh?,هون مافيه طب وللَ عياده؟
C-03-02,Are there any doctors in the area?,heeyeh il manTiqa hon maa veeha aTibaa?,هي المنطقه هون مافيه أطباء؟
C-03-03,How many beds do you have at the medical facility?,kam min matkeh ‘inkom v haaTha iT Tab?,كم من متكه عندكم ف هاذ الطب؟
C-03-04,How many people work at the hospital?,kam min aRagaazh yishitghal v iT Tab?,كم من آركٌاج يشتغل في الطب؟
C-03-05,How many nurses?,kam min momaRiDha?,كم من ممرضه؟
C-03-06,Has there been any infectious disease in the area lately?,kaano veeh amRaaDh ti’dee v Thee il manTiqa v Thee il vatRah it taaleeyeh?,كانو فيه أمراض تعدي في المنطقه في ذي الفتره التاليه؟
C-03-07,Is there a pharmacy?,hon veeh Saydaleeyeh?,هون فيه صيدليه؟
C-03-08,Is there a building where we could set up a medical facility?,hon maa veeh binaayeh ingido in’adloha heeyeh iblad iT Tab?,هون مافيه بنايه أنكٌدو أنعدلوها هي أبلد الطب؟
C-03-09,We would like to talk to people about immunization.,naHna nibqo nitkalmo lin naas ‘an it talqeeH,نحن نبقو نتكلمو للناس عن التلقيح.
C-03-10,We would like to talk to people about sanitization.,naHna nibqo nitkalmo lin naas ‘an in naThaaveh,نحن نبقو نتكلمو للناس عن النظافه.
C-03-11,Is there a medical emergency facility?,hon maa veeh iblad lil Haalaat il mosta’zhaleh?,هون مافيه أبلد للحالات المستعجله؟
C-03-12,We have to establish a safe working environment.,naHna yaalitna inzhahzo iblad amin lish shaghleh,نحن يالتنَ أنجهزو أبلد آمن للشغله.
C-03-13,We have to hire medical doctors for this facility.,naHna yaalitna inshaghlo dakaateRah v haaTha iT Tab,نحن يالتنَ أنشغلو دكاتره ف هاذ الطب.
C-03-14,We have to hire nurses for this facility.,naHna yaalitna inshaghlo momaRiDhaat v haaTha iT Tab,نحن يالتنَ أنشغلو ممرضات ف هاذ الطب.
C-03-15,We have to hire office personnel for this facility.,naHna yaalitna inshaghlo aRwaageezh v makaatib haaTha iT Tab,نحن يالتنَ أنشغلو آرواكٌيج ف مكاتب هاذ الطب.
C-03-16,We have to hire a custodian for this facility.,naHna yaalitna inshaghlo gaRdaay il haaTha iT Tab,نحن يالتنَ أنشغلو كٌردايْ ألهاذ الطب.
C-03-17,Are the local facilities and personnel able to care for the current casualties without U.S. aid?,hon maa veeh aTbaab o aRwaageezh igido idaawo haaTho in naas limzhaRHa bedoon mosaa’adit amReek?,هون ما فيه أطباب وآرواكٌيج إيكٌدو إيداوُ هاذوُ الناس المجرحه بدون مساعدة آمريك؟
C-03-18,Is the local drinking water potable?,ilmeh ilee ‘indkom hon eeyaak ila yinshRab?,ألم أللي عندكم هون أياك أللَ ينشرب؟
C-03-19,Who determined that the water is potable?,imin iqaRaR yakaan ilmeh yinshRab wala abdey?,أمن إقرر يكان ألمَ ينشرب وللَ أبدي؟
C-04-01,Who is in charge of repairing roads?,min mas-ool ‘an ti’daal iTRig?,من مسؤول عن تعدال الطرقٌ؟
C-04-02,Do you have a map of this area?,‘indak KhaReeTa ilhaaThee il manTiqa?,عندك خريطه ألهاذي المنطقه؟
C-04-03,We will provide assistance in building roads at this location.,naHna indoR in’aawno v ti’daal iTRig ivhaaThee liblaaSah,نحن أندور أنعاونو ف تعدال الطرقٌ أفهاذي لبلاصه.
C-04-04,Can you provide a road map of this area?,itgid ta’Teenee KhaReeTit iTReeg il haaThee il manTiqa?,أتكٌد تعطيني خريطة الطريقٌ ألهاذي المنطقه؟
C-04-05,Do you have any machinery for road building?,‘indak aalaat ti’daal iTReeg?,عندك آلات تعدال الطريقٌ؟
C-04-06,Do you have any machinery for road repairs?,‘indak aalaat tiSlaaH iTReeg?,عندك آلات تصلاح الطريقٌ؟
C-04-07,We have to set up storage locations for supply materials in the area.,naHna yaalitna in’adlo magazaynaat il aalaat it tazweed hon v il manTiqa,نحن يالتنَ أنعدلو مكٌزينات أل آلات التزويد هون فى المنطقه.
C-04-08,Are there any railroad tracks in this area?,hon maa veeh sibtit il gaaRib igRayib?,هون مافيه سبتتْ الكٌاربْ أكٌريْب؟
C-04-09,Do you have transportation facilities in this area?,‘indkom iblaydaat lin naqil v haaThee il manTiqa?,عندكم أبليدات للنقل فى هاذي المنطقه؟
C-04-10,Are there any airports nearby?,hon maa veeh maTaaR igRayib?,هون ما فيه مطار أكٌريْب؟
C-04-11,Are there any landing fields for smaller aircraft nearby?,hon maa veeh maTaaR wala iblaydeh igRayib linzool iTwayRaat isghayRaat?,هون مافيه مطار وللَ أبليده أكٌريب لنْزول أطويرات السغيرات؟
C-04-12,Are there any pipelines in the area?,hon maa veeh teewaat igRayib?,هون ما فيه تيوات أكٌريبْ؟
C-04-13,Is the pipeline fenced off in this area?,iteewaat mogaRyezh ‘aleehom hon ivhaaThee il manTiqa?,أتيوات مُكُريج أعليهم هون أفهاذي المنطقه؟
C-04-14,Is the traffic heavy in this area?,siRkalaaseyonh veeha yaasiR min il wataat hon?,سيركيلاسيونه فيه ياسر من الوتات هون؟
C-04-15,Are there bus lines or trains to travel to other places?,hon maa veeh beesaat wala igwaaRib yimsho shoR iblaydaat iKhRaat?,هون ما فيه بيسات وللَ أكٌواربً يمشو شور أبليدات أخرات؟
C-04-16,Are there taxis?,hon veeh takSeeyaat?,هون فيه تكصيات؟
C-04-17,Do these roads get snowed in during the winter?,haaTho iTRig izhee a’leehom iglaaS zaman ishteh?,هاذو الطرقٌ إجي أعليهم أكٌلاصْ زمن الشته؟
C-04-18,How many people own motor vehicles in this area?,kam min aRgaazh ‘ando wateh ivhaaThee il manTiqa?,كم من أركٌاج عندو وته أفهاذي المنطقه؟
C-04-19,Are there trucking companies nearby?,hon maa veeh shaRaayik il wataat likbaaRaat igRaybeen?,هون ما فيه شرايك الوتات لكبارات أكٌريبين؟
C-04-20,Do you have radio contact with people in other places?,tizhaabaR im’a in naas ilee ivlblaydaat liKhRaat a’la iRaadjo?,تجابر مع الناس أللي أفلبليدات لخرات أعلَ أرادو؟
C-04-21,Can you use these roads during the winter?,itgid tagbaTh haaTho iTRig zaman ishteh?,أتكٌد تكٌبظ هاذو الطرقٌ زمن الشته؟
C-05-01,Do not stop if convoy is attacked!,laa itwagev ilaa ‘aad il mawkib mohaazhim!,لا أتوكٌف إلا عاد الموكب مهاجم!
C-05-02,Drive a minimum of 3 kms before stopping.,imshee ithlat keelowaat saabig itwagev,أمشي أثلت كيلوات سابقٌ أتوقٌف.
C-05-03,Following distance is 100m on open highway.,il masaaveh ilee baynak im’aaha meet mayTaR i’la iTReeg likbeeReh,المسافه أللي بينك أمعاه مية ميطر أعلَ الطريقٌ لكبيره.
C-05-04,Following distance is 50m in towns.,il masaaveh ilee baynak im’aaha Khamseen mayTaR nigiR id dashRah,المسافه أللي بينك أمعاه خمسين ميطر نكٌر أدشره.
C-05-05,"When stopped on the road, keep enough space between vehicles to drive around if required.","ilaa wagavt v iTReeg, Khalee masaaveh baynak im’a il wataat ilee idooRo yitKhaTaawak",إلا وقٌفت في الطريقٌ، خلي مسافه بينك مع الوتات أللي إدورو يتخطاوك.
C-05-06,"If you lose sight of the convoy, slow down and wait for a military truck to pass you, and follow it.","elayn it’ood maa tayt itRaa’ee v il mawkib, imshee beshoR o Haanee wet iSnaadRah titKhaTaak witlibha",إلين أتعود ما تيت أتراعي في الموكب، أمشي بشور وحاني وتْ أصنادره تتخطاك و أتلبها.
C-05-07,No weapons.,maa hon asliHa,ماهون أسلحه.
C-05-08,No cell phone use.,talefonaat maa yo’amlo hon,تلفونات ما يُعملو هون.
C-05-09,Do not throw food or water to the locals.,laa tizRig iT’aam wala ilmeh i’la ahil id dashRah,لا تزركٌ أطعام وللَ ألمَ أعلَ أهل الدشره.
C-05-10,No littering or dumping trash on military camps or staging areas.,moHaRam kab losaKh o imbaaleet iHTha iSnig iSnaadRah o iblaydaat- hom,محرم كب لوسخ وأمباليتْ أحّذَ صنكٌ أصنادره و أبليداتهم.
C-05-11,Go around any broken down truck in the convoy.,iz zagnen be ay wateh ikbeeReh KhaasReh v il mawkib,أزكٌنن بأي وته أكبيره خاسره فى الموكب.
C-05-12,No flashing beacons.,maa veeh aThwaaw Thawaayeh,ما فيه أظواو ظوايه.
C-05-13,Fuel vehicle every time vehicle stops.,deeR iSaanS v il wateh kil maRa itwagev veeha,دير إصانص فى الوته كل مره أتوقٌف فيها.
C-05-14,Food is provided at some military camps when available.,"iT’aam elayn i’ood zhaahiz, yinzhbaR ‘and shee min iSnig iSnaadRah",الطعام إلين إعود جاهز، ينجبر عند شي من صنكٌ أصنادره.
C-05-15,Bring plenty of food and water with you.,zheeb im’aak yaasiR min iT’aam o yaasiR min ilmeh,جيب أمعاك ياسر من الطعام وياسر من ألمَ.
C-05-16,"If you have to stop for any reason and the convoy continues, wait for help from the military.","ilaa ‘aad haamak itwagev il ay sabab o il mawkib mazaal maashee, Haanee iSnaadRah ee’aawnook",إلا عاد هامك أتوقٌف لأي سبب و الموكب مزال ماشي، حاني أصنادره إعاونوك.
C-05-17,They will escort you back into position.,laahee yiskoRtook Raazhi’ shoR iblaaStak,لاهِ يسكورتوك راجع شور أبلاصتك.
C-05-18,No fighting or arguing with any other driver over position in convoy.,moHaRmeh id daygeh o iSakeh im’a ishovayRaat laKhRayn i’la liblaayiS v il mawkib,محرم أديكٌه و الصكّه مع أشوفيرات لخرين أعلَ لبلايص فى الموكب.
C-05-19,Drive in single file.,imshee v Saf waaHid,أمشي فى صف واحد.
C-05-20,Be prepared to stop and assist broken down trucks. (Note: This is an instruction for bobtail drivers.),‘ood mista’id itwagev o it’aawin ahil il wataat likbaaRaat il KhaasRaat,عود مستعد أتوقٌف وتعاون أهل الوتات لكبارات الخاسرات.
C-05-21,Report any problems with other drivers to the convoy commander.,balagh ay mashaakil im’a ishovayRaat laKhRayn il qaayid il mawkib,بلغ أي مشاكل مع شوفيرات لخرين ل قايد الموكب.
C-05-22,No drug or alcohol use while driving.,idRog o il moKhadiRaat moHaRmeen waqt it tiHRaak,أدروكٌ والمخدرات محرمين وقت أتحراك.
C-05-23,Know how to change tires and have proper tools.,it’alam bismil Haaleh itbadel kaR’een il wateh o igbaTh il aalaat iDhaRooReeyeh,أتعلم بسملْ حاله أتبدل كرعين الوته وأكٌبظ الآلات الضروريه.
C-05-24,"Loads, straps, chains, and tires are the drivers’ responsibility.",idbish o liHbaal o islaasil o il kaR’ayn mas-ool ‘anhom ishovayR,الدبش و الأحبال والسلاسل و الكرعين مسؤول عنهم أشوفير.
C-05-25,Check every time the convoy stops.,tam kil maRah itvaqad wagvaat il mawkib,تم كل مره أتفقد وقفات الموكب.
C-06-01,How many people live in this area?,kam min aRgaazh saakin vee Thee il manTiqa?,كم من أركٌاج ساكن في ذي المنطقه؟
C-06-02,How many water wells do you have in this area?,kam min Haasee lilmeh ‘indkom v haaThee il manTiqa?,كم من حاسي للمَ عندكم في هاذي المنطقه؟
C-06-03,Do you have a sewage system in this area?,‘inkom SaRiv SiHee vee haaThee il manTiqa?,عندكم صرف صحي فى هاذي المنطقه؟
C-06-04,How far are the latrines from the water wells?,shinhowa bi’id idooshaat min Hisyaan ilmeh?,شنهو بعد أدوشات من حسيان ألمَ؟
C-06-05,What type of herds graze in this area?,ay naw’ min il Haywaan yaR’a hon?,أي نوع من الحيوان يرعى هون؟
C-06-06,Is there a veterinarian?,hon maa veeh Tabeeb bayTaRee?,هون مافيه طبيب بيطري؟
C-06-07,Are there any factories in the area?,hon maa veeh maSaani’ vee haaThee il manTiqa?,هون مافيه مصانع في هاذي المنطقه؟
C-06-08,Is there a river nearby?,hon maa veeh nahaR igRayeb?,هون مافيه نهر أكٌريب؟
C-06-09,Where do you get electricity from?,imin imnayn zhaaykom koRaanh?,أمن أمنين جايكم كورانه؟
C-06-10,Is there a power plant nearby?,hon maa veeh eezeen koRaanh igRayib?,هون مافيه إيزين كورانه أكٌريب؟
C-06-11,What kind of electric appliances do people use?,ay naw’ min aalaat koRaanh yi’amlo in naas hon?,أي نوع من آلات كورانه إعملو الناس هون؟
C-06-12,Do you use electric stoves?,inta it’amel beetagaaz koRaanh?,أنت أتعمّل بيتاكٌاز كورانه؟
C-06-13,Have there been forest fires in the area?,kaano veeh HaRaayiq ghaabaat v haaThee il manTiqa?,كانو فيه حرائق غابات ف هاذي المنطقه؟
C-06-14,Are there any gas pipes around here?,hon maa veeh teewaat gaaz igRayib?,هون مافيه تيوات كٌاز أكٌريب؟
C-06-15,Do you use gas to heat homes around here?,intooma it’amlo gaaz eeyaak tiHmo idyaaR hon?,أنتوم أتعملو كٌاز أياك أتحمو أديار هون؟
C-06-16,Is gas used for cooking?,gaaz yintSab ‘aleeh?,كٌاز ينتصب أعليه؟
C-06-17,Do you use propane gas tanks?,intooma ti’imlo gaaz lipRopeen?,أنتوم أتعملو كٌاز لبروبين؟
C-06-18,Where do you get propane gas tanks supplied from?,intooma itzheebo gaaz lipRopeen min imnayn?,أنتوم أتجيبو كٌاز لبروبين من أمنين؟
C-06-19,Is there anyone to inspect home gas appliances?,hon maa veeh Had eeKhaRaS lazh-hezeh ilee tishitghal ib gaaz?,هون مافيه حد إخرص الأجهزه أللي تشتغل ب كٌاز؟
C-06-20,Is there an electrician here?,hon maa veeh ilikteRseeyaanh igRayib?,هون ما فيه إلكتريسيانه أكٌريبْ؟
C-06-21,Is there a water supply system to households?,hon maa veeh shetedo itwafaR ilmeh lin naas v idyaaRhom?,هون مافيه شتَدو أتوفر ألمَ للناس فى أديارهم؟
C-06-22,Where is the facility located?,waynhowa iblad leezeen?,وينهو أبلد ليزين؟
C-06-23,How many people operate the system?,kam min aRgaazh ishaghlo il zhihaaz?,كم من أركٌاج إشغلو الجهاز؟
C-06-24,Is it connected to other water supply systems?,heeyeh maRbooTa im’a makaayin tawveeR ilmeh liKhRayn?,هي مربوطه مع مكاين توفير ألمَ لخرين؟
C-06-25,Is it functional?,heeyeh tishitghal?,هي تشتغل؟
C-06-26,Where are the sources of raw water?,waynhoma liblaydaat ilee veehom i’yoon ilmeh?,وينهوم لبليدات أللي فيهم أعيون ألمَ؟
C-06-27,Is it polluted?,howa mitlawith?,هو متلوث؟
C-06-28,Is there a water treatment used?,‘eelaazh ilmeh yo’adal hon?,علاج ألمَ يُعدل هون؟
C-06-29,Is it chemical?,howa keemyaawee?,هو كيمياوي؟
C-06-30,Is it through filtration?,howa moSafee?,هو مصفي؟
C-06-31,Is it by sedimentation?,howa ‘an TaReeq it taRseeb?,هو عن طريق الترسيب؟
C-06-32,Where is the pumping station?,waynheeyeh maHaTit iS Sab?,وينهي محطة الصب؟
C-06-33,How many people are needed to keep the system functional?,kam min aRgaazh miHtaazheen ilhom eeyaak item il aaleh tishitghal?,كم من آركٌاج محتاجين ألهم أياك أتم الآله تشتغل؟
C-06-34,We’ve heard that there have been some problems with sewage in this neighborhood.,naHna ismi’na ‘an kaano veeh shee min il mashaakil v iS SaRv iS SiHee v haaTha il Hay,نحن أسمعنا عن كانو فيه شي من المشاكل فى الصرف الصحي فى هاذ الحي.
C-06-35,Do you have indoor plumbing?,inta ‘indak alit iplombeeyeh v id daaR?,أنت عندك آلة بلومبيَ فى الدار؟
C-06-36,Do you have any problems with your plumbing?,‘indak ay mashaakil v alit iplombeeyeh?,عندك أي مشاكل فى آلة بلومبيَ؟
C-06-37,Does your toilet work?,idosh maa veeh mushkeleh?,أدوش مافيه مشكله؟
C-06-38,How many toilets do you have in the house?,kam min dosh ‘indak v id daaR?,كم من دوش عندك فى الدار؟
C-06-39,Do you have a septic tank?,‘indak fonS?,عندك أفونص؟
C-06-40,Is there anyone who can fix your sewer?,hon maa veeh Had igid eeSalaH iS SaRv iS SiHee?,هون مافيه حد إيكٌد إيصلح الصرف الصحي؟
C-06-41,Have you contacted anyone regarding this problem? If so who?,"mindRah kaanak it taSalit i’la Had v aKhbaaR Thee il moshkeleh? wila ‘idt it taSalit, it taSalit i’la min?",مندرا كانك أتصلت أعلَ حد فى أخبار ذي المشكله؟ وإلا عدت أتصلت، أتصلت أعلَ من؟
C-06-42,When did you contact them?,aynta it taSalit i’leehom?,أينتَ أتصلت أعليهم؟
C-06-43,I will report this higher up and see if there is something we can do to fix the sewage problem.,indoR inlaHig haaTha lil mas-ool ilee vogee o inshoov shingido in’adlo v moshkelit iS SaRv iS SiHee ‘andak,أندور أنلحكٌ هاذ للمسؤول أللي فوقٌي وأنشوف شنكٌدو أنعدلو فى مشكلة الصرف الصحي عندك.
C-06-44,We will contact the sewage company and find out what is being done to correct the problem.,indoR intlevno i’la shaReekit iS SaRv iS SiHee o na’iRvo Tha ilee mitbaaRkeen im’aah eeyaak TaSlaH il moshkeleh,أندور أنتلفنو أعل شريكة الصرف الصحي ونعرفو ذ أللي متباركين أمعاه أياك تصلح المشكله.
C-07-01,How many radios and TVs are in this area?,kam min maHaTet Raadjo o talvezeh v haaThee il manTiqa?,كم من محطة رادو و تلفزه فى هاذي المنطقه؟
C-07-02,Do you have a radio station in this area?,‘indkom maHaTet Raadjo v haaThee il manTiqa?,عندكم محطة رادو فى هاذي المنطقه؟
C-07-03,Do you have a TV station in the area?,‘indkom maHaTet talvezeh v haaThee il manTiqa?,عندكم محطة تلفزه فى هاذي المنطقه؟
C-07-04,Do you have a public announcement system?,‘indkom niThaam il i’laan il ‘aam?,عندكم نظام الإعلان العام؟
C-07-05,Where do you post announcements?,imnayn tikitbo li’laanaat?,أمنين تكتبو الإعلانات؟
C-07-06,Is there a local newspaper?,hon veeh zhaReedeh maHaleeyeh?,هون فيه جريده محليه؟
C-07-07,Is there a news agency representative nearby?,hon momathil il wakaaleh lil aKhbaaR igRayib?,هون ممثل ألوكاله للأخبار أكٌريبْ؟
C-07-08,Is there an information center?,hon maa veeh maRkaz lil aKhbaaR?,هون مافيه مركز للأخبار؟
C-07-09,Do you receive fliers?,eezhokom itwaaqiT it taRweezh?,إيجوكم أتواقط الترويج؟
C-07-10,Who distributes the fliers?,imin egasam itwaaqiT it taRweezh?,أمن إكٌسم أتواقط الترويج؟
C-07-11,Where do you buy a newspaper?,imin imnayn tishRo il zhaRaayid?,أمن أمنين تشرو الجرائد؟
C-08-01,May I see your ID?,itgid tin’atlee kaRdaandeetak?,أتكد تنعتلى كردانديتك؟
C-08-02,Where do you live?,inta saakin imnayn?,أنت ساكن أمنين؟
C-08-03,Where is the farm located?,imnayn heeyeh il mazRa’a?,أمنينهي المزرعه؟
C-08-04,What was produced on the farm?,ishyenHiRith v il mazRa’a?,أشينحرث فى المزرعه؟
C-08-05,Who confiscated the land?,min sayzaR itRaab?,من سيْزر التراب؟
C-08-06,Who now occupies your farm?,mazRa’tak min veeha ThaRk?,مزرعتك من فيها ظركْ؟
C-08-07,Have you talked with them?,inta itkalamit im’aahom?,أنت أتكلمت أمعاهم؟
C-08-08,Do you have documentation?,‘indak itwaaqiT?,عندك أتواقط؟
C-08-09,You think it’s dangerous?,ThaahiR lak ‘an Tha KhaTeeR?,ظاهرلك عن ذ خطير؟
C-08-10,I will contact the appropriate authorities to investigate this matter.,indoR nitaSil i’la is soloTaat il mas-ooleh itHaqaq vee Tha il mawDhoo’,أندور نتصل أعلَ السلطات المسؤوله أتحقق فى ذ الموضوع.
C-08-11,Please know we will assist you.,‘ood ‘aaRiv min vaDhlak ‘aneh indoRo in’aawnook,عود عارف من فضلك عن أندور أنعاونوك.
C-08-12,You must allow the local authorities to conduct their investigation.,inta yaaltak itKhalee is soloTaat il maHaleeyeh ee’adlo taHqeeqhom,أنت يالتك أتخلي السلطات المحليه أعدلو تحقيقهم.
C-08-13,You must go to the base and speak with an interpreter.,inta yaaltak itgees iSangeh o titkalam im’a motaRzhim,أنت يالتك أتكٌيس أصنكٌه وتتكلم مع مترجم.
C-08-14,The name of the owner,isim il maalik,أسم المالك
C-08-15,The name of the property,isim il ‘aqaaR,اسم العقار
C-08-16,Location of the property,iblad il ‘aqaaR,بلد العقار
C-08-17,Present use of the property,listiKhdaam il Haalee lil ‘aqaaR,الأستخدام الحالي للعقار
C-08-18,What is the condition of the property?,shinhowa Haal il ‘aqaaR?,شنهو حال العقار؟
C-08-19,Who has the title?,min ‘ando keetaanS?,من عندو كيتانص؟
C-09-01,Put your hands on the steering wheel and do not move them.,iTRaH eydeek i’la daRaksionh o laa itHaRikhom,أطرح أيديك أعل دريكسيون ولا أتحركهم.
C-09-02,You are breaking the curfew.,inta maaRig waqit baatiRwee,أنت مارقٌ وقت باتروي.
C-09-03,You were speeding.,inta kint shaaH,أنت كنت شاحْ.
C-09-04,The curfew is in effect.,baatiRwee ibda,باتروي أبدأ.
C-09-05,Did you know there is a curfew?,inta ‘aalim ‘an veeh baatiRwee?,أنت عالم عن فيه باتروي؟
C-09-06,The streets are not safe right now.,ish shawaaRi’ maahom amneen ThaRkateeyaah,الشوارع ماهم آمنين ظركتياهَ.
C-09-07,We will escort you to your relatives.,idoRo niskoRtook shoR aqaaRbak,أندورو نسكورتوك شور اقاربك.
C-09-08,The police station will give you information about curfew.,komeeseRya polees idoR ta’Teek ma’loomaat ‘an baatiRwee,كوميسيريا بوليس أدور تعطيك معلومات عن باتروي.
C-09-09,Turn off the engine.,iTfee il makeeneh,أطفي المكينه.
C-09-10,Get out of your vehicle,nagaz min il wateh,نكٌز من الوته.
C-09-11,"May I see your ID, please?",itgid tin’atlee kaRdaandeetak min vaDhlak?,أتكد تنعتلى كردانديتك من فضلك؟
C-09-12,Where are you going?,inta imnayn gaayis?,أنت أمنين كٌايسْ؟
C-09-13,Are you carrying any weapons?,inta Raavid ay asliHa?,أنت رافد أي أسلحه؟
C-09-14,How much money are you carrying?,kam min il vaTha Raavid im’aak?,كم من الفظه رافد أمعاك؟
C-09-15,Who gave you the money?,min a’Taak il vaTha?,من أعطاك الفظه؟
C-09-16,Do you have a gun under the seat?,‘indak madva’ taHit il mig’aydeh?,عندك مدفع تحت المقٌعيده؟
C-09-17,Are you hiding anything illegal?,inta laam ay shee maaho shaR’ee?,أنت لامْ أي شي ماهُ شرعي؟
C-09-18,"Since you broke the law, we have to arrest you.",ibsabab ‘anak Khaalivt il qaanoon laahee naHibsook,ابسبب عنك خالفت القانون لاهِ نحبسوك.
C-09-19,We have to take you to the police station.,yaalitna nimsho beek shoR komeeseRya polees,يالتنَ نمشو بيك شور كوميسيريا بوليس.
C-09-20,You will ride with us to the police station.,laahee taRkab im’aana shoR komeeseRya polees,لاهِ تركب أمعان شور كوميسيريا بوليس.
C-09-21,We detained this man at ___.,i’taqalna Tha iR Raazhil ‘ind ___,أعتقلنا ذ الراجل عند .___
C-09-22,He broke the curfew.,howa imRag waqit baatiRwee,هو أمركٌ وقت باتروي.
C-09-23,Can you help verify the man’s identity?,itgid itsaa’id v it ta-akod min haweet iR Raazhil?,أتكٌد أتساعد في التأكد من هوية الراجل؟
C-09-24,He was hiding a gun.,howa kaan laam madva’,هو كان لام مدفع.
C-10-01,Turn off your engine.,iTfee il makeeneh,أطفي المكينه.
C-10-02,Get out of the truck please.,nagez min il wateh min vaDhlak,نكٌز من الوته من فضلك.
C-10-03,Where are you coming from?,inta imin imnayn zhaay?,أنت من أمنين جايْ؟
C-10-04,Where are you going to?,inta imnayn gaayis?,أنت أمنين كٌايس؟
C-10-05,What are you transporting?,inta Tha ilee imnagal shinho?,انت ذ أللي منقٌل شنهو؟
C-10-06,Please unlock the back door.,ivtaH il baab il waRaanee min vaDhlak,أفتح الباب الوراني من فضلك.
C-10-07,We need to inspect the cargo.,yaalitna in nabsho il Homooleh,يالتنَ أنبشو الحموله.
C-10-08,What is this?,haaTha shinho?,هاذ شنهو؟
C-10-09,Where did you get this ammunition?,imin imnayn zhibit Tha it ti’maaR?,أمن منين جبت ذ التعمار؟
C-10-10,Who does this ammunition belong to?,haaTha it ti’maaR ilmin?,هاذ التعمار ألمن؟
C-10-11,We are going to detain you and confiscate your truck.,naHna laahee nikiRdok o inRomaanSo il wateh,نحن لاهِ نكردوك و أنرومانصو الوته.
