A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
B-10-01,Emergency!,Tawaari!,طوارئ!
B-10-02,We need a doctor!,niHtaaj Tabeeb!,نحتاج طبيب!
B-10-03,Distress signal,ishaarat najda,إشارة نجدة
B-10-04,Help! (help me),ilHagwee!,إلحگوي!
B-10-05,Evacuate the area!,iKhloo il manTaqa!,إخلو المنطقة!
B-11-01,Food,akel,أكل
B-11-02,Can,qoTee,قوطي
B-11-03,Cup,koob,كوب
B-11-04,Fork,shoka,شوكة
B-11-05,Knife,sikeena,سكينة
B-11-06,Plate,maa’oon,ماعون
B-11-07,Spoon,ma’laga,معلگة
B-11-08,Beans,faaSooleya,فاصوليا
B-11-09,Beer,beera,بيرة
B-11-10,Bread,Khubuz,خبز
B-11-11,Butter,zibid,زبد
B-11-12,Cheese,jibin,جبن
B-11-13,Coffee,gahwa,گهوة
B-11-14,Fish,simach,سِمچ
B-11-15,Flour,TaHeen,طحين
B-11-16,Fruit,fawaakih,فواكه
B-11-17,Meat,laHim,لحم
B-11-18,Milk,Haleeb,حليب
B-11-19,Oil,zeyt,زيت
B-11-20,Potatoes,baTaaTa,بطاطا
B-11-21,Rice,‘esh,عيش
B-11-22,Salt,meliH,ملح
B-11-23,Soup,shorba,شوربة
B-11-24,Sugar,sukar,سكر
B-11-25,Tea,shaay,شاي
B-11-26,Vegetables,KhuDhra,خضرة
B-11-27,Water,maay,ماي
B-11-28,Wine,Khamur,خمر
B-11-29,Drink,ishrab,إشرب
B-11-30,Eat,ikil,إكل
B-11-31,Don’t push! We have plenty of food.,laa tedafa’oon! aku akel kifaaya,لاتدافعون! أكو أكل كفاية
B-11-32,Give me your bowl.,‘aTnee Taastak,عطني طاستك
B-11-33,Is the water safe to drink?,il maay hadaa SaaleH lil shurub?,الماي هدا صالح للشرب؟
B-11-34,Boil the water.,ighlee il maay,إغلي الماي
B-11-35,Wash your hands.,ighsil yadak,إغسل يدك
B-11-36,Wash yourself here.,itsabaH min naa,إتسبح منا
B-11-37,We need ___ liters of potable water.,niHtaaj ___ latraat maay lil shurub,نحتاج ___ لترات ماي للشرب
B-11-38,Where is the latrine?,wayn dawraat il maay?,وين دورات الماي؟
B-11-39,The latrine is to the ___.,dawraat il maay ‘ala ___,دورات الماي على ___
B-11-40,The latrine is to the left.,dawraat il maay ‘ala il yasaar,دورات الماي على اليسار
B-11-41,The latrine is to the right.,dawraat il maay ‘ala il yameen,دورات الماي على اليمين
B-11-42,The latrine is straight ahead.,dawraat il maay seeda,دورات الماي سيدا
B-11-43,Is the food fresh?,il akel hadaa Taaza?,الأكل هدا طازة؟
B-11-44,Is the food spoiled?,il akel hadaa Kharbaan?,الأكل هدا خربان؟
B-11-45,Burn this ___.,iHrega ___,إحرگه ___
B-12-01,Gasoline,banzeen,بنزين
B-12-02,Oil,zeyt,زيت
B-12-03,Diesel,deezel,ديزل
B-12-04,Gas (propane),ghaaz,غاز
B-12-05,Liters,latraat,لترات
B-12-06,Do you have___?,‘indak ___?,عندك ___؟
B-12-07,Hydraulic fluid,saa-il haydrolik,سائل هيدرولك
B-12-08,Hydraulic system,niDhaam haydrolik,نظام هيدرولك
B-12-09,We need maintenance support,niHtaaj Seyaana,نحتاج صيانة
B-12-10,We need ___.,niHtaaj ___,نحتاج ___
B-12-11,400-cycle,arba’meyet dawra,أربعمية دورة
B-12-12,3-phase,thlaath maraaHil,ثلاث مراحل
B-12-13,Alternating current,tayaar mitnaawub,تيار متناوب
B-12-14,115-volt,miya wo KhumusTaa’ash volT,ميّة وخمسطاعش فولط
B-13-01,Antibiotics,muDhaad Hayaawee,مضاد حيوي
B-13-02,Bandage,lazga,لزگة
B-13-03,Blood,dam,دم
B-13-04,Burn,iHrig,إحرگ
B-13-05,Clean,naDheef,نضيف
B-13-06,Dead,mayit,مَِّيت
B-13-07,Doctor,Tabeeb,طبيب
B-13-08,Fever,Hum ma,حمّى
B-13-09,Hospital,mustashfa,مستشفى
B-13-10,Infection,ilteehaab,إلتهاب
B-13-11,Injured,majrooH,مجروح
B-13-12,Malnutrition,soo taghTheeya,سوء تغذية
B-13-13,Medic,jibs,جبس
B-13-14,Medicine,duwa,دوه
B-13-15,Nurse,mumariDha,ممرضة
B-13-16,Poison,sem,سم
B-13-17,Sick,mareeDh,مريض
B-13-18,Vitamins,feetaameenaat,فيتامينات
B-13-19,Wound,jareH,جرح
B-13-20,I am a doctor.,anaa Tabeeb,أنا طبيب
B-13-21,I am not a doctor.,anaa moo Tabeeb,أنا مو طبيب
B-13-22,I am going to help.,raH asaa’ed,رح أساعد
B-13-23,Can you walk?,tigdar itseer?,تگدر تسير؟
B-13-24,Can you sit?,tigdar teyles?,تگدر تيلس؟
B-13-25,Can you stand?,tigdar togaf?,تگدر توگف؟
B-13-26,Are you in pain?,‘indak woja’?,عندك وجع؟
B-13-27,You will get a shot.,raH na’Teek ibra,رح نعطيك إبرة
B-13-28,I will take you to the hospital.,raH aaKhThak lil mustashfa,رح آخذك للمستشفى
B-13-29,What is wrong?,shinoo il mushkila?,شنو المشكلة؟
B-13-30,Are you injured?,inta majrooH?,إنت مجروح؟
B-13-31,Can you feed yourself?,tigdar taakil ilHaalak?,تگدر تاكل لحالك؟
B-13-32,Open your mouth.,iftaH thim mak,إفتح ثمك
B-13-33,Are you pregnant?,intee Haamil?,إِنتِ حامل؟
B-14-01,Abdomen,baTen,بطن
B-14-02,Ankle,kaaHil,كاحل
B-14-03,Arm,Thraa’,ذراع
B-14-04,Bone,‘aDhum,عظم
B-14-05,Brain,muKh,مخ
B-14-06,Chest,Sadir,صدر
B-14-07,Ear,iThin,إذن
B-14-08,Elbow,koo’,كوع
B-14-09,Eyes,‘yoon,عيون
B-14-10,Face,wiyeh,ويه
B-14-11,Finger,iSba’,إصبع
B-14-12,Foot,reyil,ريل
B-14-13,Hair,sha’ar,شَعَر
B-14-14,Hand,yad,يد
B-14-15,Head,raas,راس
B-14-16,Heart,galub,گلب
B-14-17,Kidney,kilya,كلية
B-14-18,Knee,rukba,رُكبة
B-14-19,Leg,reyil,ريل
B-14-20,Lips,shifaayef,شفايف
B-14-21,Liver,kabid,كبد
B-14-22,Lungs,ree-atayn,رئتين
B-14-23,Mouth,tham,ثم
B-14-24,Neck,rugba,رگبة
B-14-25,Nose,Khashim,خشم
B-14-26,Pelvis / Groin,HawDh,حوض
B-14-27,Ribs,Dhloo’,ضلوع
B-14-28,Shoulder,katif,كتف
B-14-29,Skull,jumjuma,جمجمة
B-14-30,Spine,‘amood faqaree,عمود فقري
B-14-31,Stomach (area),baTen,بطن
B-14-32,Stomach (organ),mi’da,معدة
B-14-33,Teeth,asnaan,أسنان
B-14-34,Toe,iSba’ reyil,إصبع ريل
B-14-35,Tongue,ilsaan,لسان
B-14-36,Wrist,mu’Sam,مُعصم
B-15-01,General,janaraal,جنرال
B-15-02,Admiral,admeeraal,أدميرال
B-15-03,Colonel,‘aqeed,عقيد
B-15-04,Lieutenant Colonel,muqadam,مقدّم
B-15-05,Commander,qaa-id,قائد
B-15-06,Major,raa-id,رائد
B-15-07,Captain,naqeeb,نقيب
B-15-08,Lieutenant,mulaazim,ملازم
B-15-09,Senior Sergeant,‘areef agdam,عريف أگدم
B-15-10,Soldier,jundee,جندي
B-15-11,Airman,Tayaar,طيار
B-15-12,Seaman,baHaar,بحّار
B-15-13,Marine,mushaat baHriya,مشاة بحرية
B-16-01,We must spend the night here.,laazim nigDhee il layla min naa,لازم نگضي الليلة منّا
B-16-02,Is there a dining facility here?,aku maT’am min naa?,أكو مطعم منّا؟
B-16-03,How many kilometers to the nearest town?,kam keloo agrab madeena?,كم كيلو أگرب مدينة؟
B-16-04,Are there any hotels near here?,aku fanaadig gareeba min naa?,أكو فنادگ گريبة منّا؟
B-16-05,Are there any restaurants near here?,aku maTaa’im min naa?,أكو مطاعم منّا؟
B-16-06,We want to go to ____.,nabee inseer lil ___,نبي نسير للـ ___
B-16-07,Are there rental cars available?,aku sayaraat ta-jeer?,أكو سيارات تأجير؟
B-16-08,Is there a telephone available?,aku taleefon?,أكو تليفون؟
B-16-09,We need ____ gallons of potable water.,niHtaaj ___ jaalonaat maay shurub,نحتاج ___ جالونات ماي شرب
B-17-01,Air Force,quwa jaweeya,قوة جوية
B-17-02,Army,jaysh,جيش
B-17-03,Marines,mushaat baHriya,مشاة بحرية
B-17-04,Navy,baHriya,بحرية
B-17-05,Air Defense,difaa’ jawee,دفاع جوي
B-17-06,Commander,qaa-id,قائد
B-17-07,Dentist,Tabeeb asnaan,طبيب أسنان
B-17-08,Doctor,Tabeeb,طبيب
B-17-09,Driver,shoveyr,شوفير
B-17-10,Farmer,falaaH,فلاح
B-17-11,Fisherman,Sayaad,صياد
B-17-12,Government employee,muwaDhaf Hukoomee,موظف حكومي
B-17-13,Guard,Haaris,حارس
B-17-14,Housewife,rabat manzil,ربة منزل
B-17-15,Laborer,‘aamil,عامل
B-17-16,Mechanic,meekaneekee,ميكانيكي
B-17-17,Messenger,rasool,رسول
B-17-18,Pilot,Tayaar,طيار
B-17-19,Policeman,shurTee,شرطي
B-17-20,Sailor,baHaar,بحار
B-17-21,Businessman,rajul a’maal,رجل أعمال
B-17-22,Shopkeeper,SaaHib maHal,صاحب محل
B-17-23,Soldier,jundee,جندي
B-17-24,Student,Taalib,طالب
B-17-25,Teacher,mudaris,مدرّس
B-18-01,Where is my customs declaration?,wayn taSreeH il jamaarik maalee?,وين تصريح الجمارك مالي؟
B-18-02,I do not have anything to declare.,maaku shee aSariH ‘anoo,ماكو شي أصرح عنه
B-18-03,These goods are personal.,haay beDhaa’a shaKhSeeya,هاي بضاعة شخصية
B-18-04,Not for sale.,moo lil bay’,مو للبيع
B-18-05,Can you help me fill out the forms?,mumkin itsaa’idnee amlee haay il isteemaraat?,ممكن تساعدني أملي هاي الإستمارات؟
B-18-06,Is this correct?,haThaa SaH?,هذا صح؟
B-18-07,Here is my passport.,haThaa jawaazee,هذا جوازي
B-18-08,Here is my visa.,haaThee il veeza,هاذي الفيزة
B-18-09,I have no Emirati money.,maa ‘indee daraahim imaaraateeya,ما عندي دراهم إمارتية
B-18-10,Ad valorem,Hasab il qeema,حسَب القيمَة
B-18-11,Ammunition,‘etaad,عتاد
B-18-12,Baggage,shinaT,شنط
B-18-13,Bill of lading,qaa-imet il shaHen,قائمة الشحن
B-18-14,Cargo,Humoola,حمولة
B-18-15,Customs,jamaarik,جمارك
B-18-16,Customs declaration,taSreeH jumrukee,تصريح جمركي
B-18-17,Customs tax,Dhareeba gamrigeeya,ضريبة گمرگية
B-18-18,Customs worker,muwaDhaf gamaarig,موظف گمارگ
B-18-19,Damaged,Kharbaana,خربانة
B-18-20,Delivery,shiHna,شحنة
B-18-21,Duty,rusoom gamrigeeya,رسوم گمرگية
B-18-22,Expenditures,Sarfeeyaat,صرفيات
B-18-23,Export,taSdeer,تصدير
B-18-24,False,moo SaHeeH,مو صحيح
B-18-25,Foreign currency,‘umla ajnabeeya,عملة أجنبية
B-18-26,Form (document),isteemaara,إستمارة
B-18-27,Holding,Hajez,حجز
B-18-28,Import,isteeraad,إستيراد
B-18-29,Insurance,ta-meen,تأمين
B-18-30,Emirati,imaaraatee,إماراتي
B-18-31,Loading,taHmeel,تحميل
B-18-32,Name of goods,isim il beeDhaa’a,إسم البضاعة
B-18-33,Narcotics,muKhadiraat,مخدرات
B-18-34,National treasure,al bank al waTanee,البنك الوطني
B-18-35,Nomenclature,ramez raqmee,رمز رقمي
B-18-36,On-board,‘ala meten,على متن
B-18-37,Origin,aSel,أصل
B-18-38,Owner,SaaHib,صاحب
B-18-39,Packing list,listet al shaHen,لستة الشحن
B-18-40,Passport,jawaaz,جواز
B-18-41,Permission,mowaafaqa,موافقة
B-18-42,Personal use,isti’maal shaKhSee,إستعمال شخصي
B-18-43,Personnel,afraad,أفراد
B-18-44,Prohibited,mamnoo’,ممنوع
B-18-45,Property,mulik,ملك
B-18-46,Rate,mu’adal,معدل
B-18-47,Rate of exchange,mu’adel al Saruf,معدل الصرف
B-18-48,Receipt,waSil,وصل
B-18-49,Relics,aathaar,آثار
B-18-50,Restricted,maHDhoor,محظور
B-18-51,Souvenir,tiThkaar,تذكار
B-18-52,Specification,mowaSafaat,مواصفات
B-18-53,Storage,maKhzen,مخزن
B-18-54,Tariff,ta’reefa,تعريفة
B-18-55,Tax-free,ma’feeya min al Dhareeba,معفية من الضريبة
B-18-56,To answer,yejaawub,يجاوب
B-18-57,To be responsible for,mas-ool ‘an,مسؤول عن
B-18-58,To export,yiSadir,يصدّر
B-18-59,To fill out,yimlee,يملي
B-18-60,To present for customs inspection,yeqadam lil tafteesh il jumrukee,يقدّم للتفتيش الجمركي
B-18-61,Transportation,imwaaSelaat,مواصلات
B-18-62,Unloading,tafreegh,تفريغ
B-18-63,Valuables,mumtalakaat qayema,ممتلكات قيمة
B-18-64,Value,qeema,قيمة
B-18-65,Visa,veeza,فيزه
B-18-66,Weapons,asliHa,أسلحة
B-18-67,X-ray machine,jihaaz ashi’a,جهاز أشعّة
B-19-01,Aunt (paternal) / (maternal),‘ama / Khaala,عمّة / خالة
B-19-02,Brother,aKh,أخ
B-19-03,Child,yaahil,ياهل
B-19-04,Children,yehaal,يهال
B-19-05,Cousin (paternal),walad ‘am,ولد عم
B-19-06,Daughter,bint,بنت
B-19-07,Family,ahel,أهل
B-19-08,Father,ab,أب
B-19-09,Grandfather,jad,جد
B-19-10,Grandmother,jada,جده
B-19-11,Husband,zawj,زوج
B-19-13,Men,riyaayeel,رياييل
B-19-14,Mother,um,أٌمّ
B-19-15,Relatives,garaayib,گرايب
B-19-16,Sister,uKhut,أُخت
B-19-17,Son,ibin,إبن
B-19-18,Uncle (paternal) / (maternal),‘am / Khaal,عم / خال
B-19-19,Wife,zawja,زوجة
B-19-20,Woman,Hurma,حرمة
B-19-21,Women,Hareem,حريم
B-20-01,Cold,baarid,بارد
B-20-02,Dry,yaabis,يابس
B-20-03,Earthquake,zilzaal,زلزال
B-20-04,Fog,Dhabaab,ضباب
B-20-05,High winds,reeH qaweeya,ريح گوية
B-20-06,Hot,Har,حر
B-20-07,Humidity,ruTooba,رطوبة
B-20-08,Ice,thalij,ثلج
B-20-09,Lightning,bariq,برق
B-20-10,Rain,muTar,مطر
B-20-11,Sandstorm,zawba’a ramliya,زوبعة رملية
B-20-12,Severe,KhaTeer,خطير
B-20-13,Snow,thalij,ثلج
B-20-14,Storm,‘aaSifa,عاصفة
B-20-15,Temperature,Haraara,حرارة
B-20-16,Thunder,ra’d,رعد
B-20-17,Weather,jaw,جو
B-20-18,Wet,imbalal,مبلّل
B-20-19,Typhoon,‘aaSifa istiwa-eya,عاصفة إستوائية
B-20-20,Tornado,i’Saar,إعصار
B-21-01,Airfield,qaa’ida jaweeya,قاعدة جوية
B-21-02,Ammunition,‘etaad,عتاد
B-21-03,Armed men,musalaHeen,مسلحين
B-21-04,Artillery,medfa’eeya,مدفعية
B-21-05,Barracks,thakana,ثكنة
B-21-06,Base,qaa’ida,قاعدة
B-21-07,Camp,mu’asker,معسكر
B-21-08,Cannon,medfa’,مدفع
B-21-09,Car,sayaara,سيارة
B-21-10,Commander,qaa-id,قائد
B-21-11,Enemy,‘adoo,عدو
B-21-12,Explosive,mutafajiraat,متفجرات
B-21-13,Friendly,Sadeeq,صديق
B-21-14,Grenade,qunbula yadawiya,قنبلة يدوية
B-21-15,Gun,musadas,مسدس
B-21-16,Jeep,jep,جيب
B-21-17,Kilometer,keyloometer,كيلومتر
B-21-18,Knife,secheen,سجين
B-21-19,Leader,qaa-id,قائد
B-21-20,Machine gun,rashaash,رشاش
B-21-21,Mine,lughum,لغم
B-21-22,Minefield,Haqel alghaam,حقل ألغام
B-21-23,Missile,SaarooKh,صاروخ
B-21-24,Mortar,haawen,هاون
B-21-25,Officer,DhaabiT,ضابط
B-21-26,Pistol,musadas,مسدس
B-21-27,Plane,Tayaara,طيارة
B-21-28,Protection,Himaaya,حماية
B-21-29,Refugee,laaji,لاجئ
B-21-30,Rifle,bundugeeya,بندگية
B-21-31,Rocket,SaarooKh,صاروخ
B-21-32,Rocket launcher,qaaTheefet SawareeKh,قاذفة صواريخ
B-21-33,Shelter,malja,ملجأ
B-21-34,Ship,safeena,سفينة
B-21-35,Sniper,qanaaS,قنّاص
B-21-36,Soldier,jundee,جندي
B-21-37,Stronghold,mawDhi’ gawee,موضع گوي
B-21-38,Tank,dabaaba,دبابة
B-21-39,Tent,Kheyma,خيمة
B-21-40,Trailer,maqToora,مقطورة
B-21-41,Truck,loree,لوري
B-21-42,Unit,waHda,وحدة
B-21-43,Weapons,asliHa,أسلحة
B-22-01,Angle,zaaweeya,زاوية
B-22-02,Azimuth,azmoozee,أزموزي
B-22-03,Cleared lane,Tareeq maftooH,طريق مفتوح
B-22-04,Compass,bawSala,بوصلة
B-22-05,Danger area,manTaqat KhaTar,منطقة خطر
B-22-06,Demolition,tafjeer,تفجير
B-22-07,Grappling hook,KhaTaaf,خطاف
B-22-08,In Place,ibmaHal,بمحل
B-22-09,Metallic,ma’danee,معدني
B-22-10,Mine,lughum,لغم
B-22-11,Minefield,Haqel alghaam,حقل ألغام
B-22-12,Non-metallic,moo ma’danee,مو معدني
B-22-13,Pace,KhuTwa,خطوة
B-22-14,Stake,wated,وتد
B-22-15,Tree,shijra,شجرة
B-22-16,Tape,shareeT giyaas,شريط گياس
C-01-01,Do you understand this language?,inta tiftihim hal lugha?,إنت تفتهم هاللغة؟
C-01-02,We are here to help you.,iHna ihnaa lansaa’adak,إحنا هنا لنساعدك
C-01-03,I do not understand.,anaa maa afham,آنا ما أفهم
C-01-04,There is no one available who speaks this language.,maaku waaHid mawjood yiHchee hal lugha,ماكو واحد موجود يحچي هاللغة
C-01-05,I understand.,anaa afham,آنا أفهم
C-01-06,Repeat please.,‘eed min faDhlak,عيد من فضلك
C-01-07,Come with me.,ta’aal wiyaayaa,تعال ويايا
C-01-08,Be quiet.,iskut,إسكت
C-01-09,Describe it with gestures.,oSifhaa bil eeshaaraat,أوصفها بالإشارات
C-01-10,Do not get excited.,laa itTeer min il faraH,لا تطير من الفرح
C-01-11,Do what I ask.,sawee mithil maa areed,سوي مثل ما أريد
C-01-12,Do you mean “no”?,tuqSud “laa”?,تقصد “لا”؟
C-01-13,Do you mean “yes”?,tuqSud “na’am”?,تقصد “نعم”؟
C-01-14,I will get an interpreter.,raH ajeeb mutarjim,رح أجیب مترجم
C-01-15,Is this it?,haaThee hiya?,هاذي هي؟
C-01-16,Yes.,na’am,نعم
C-01-17,No.,laa,لا
C-01-18,Point to it.,ashir ‘alay,أشر عليه
C-01-19,Relax.,istarKhee,إسترخي
C-01-21,Write your answer here.,iktib jawaabak min naa,إكتب جوابك منّا
C-01-22,Please.,rajaa-an,رجاءً
C-01-23,Thank you.,shukran,شكراً
C-01-24,You are welcome.,yaa halaa,يا هلا
C-01-25,Thank you for talking with me.,shukran ‘ala Hachyak wiyaayaa,شكراً على حچيك ويايا
C-01-26,I will talk with you again.,anaa raH aHchee wiyaak mara thaaneeya,آنا رح أحچي وياك مرة ثانية
C-01-27,Good-bye.,ma’a as salaama,مع السلامة
C-02-01,What is your given name?,shinoo ismak?,شنو إسمك؟
C-02-02,What is your family name?,shinoo ilqabak?,شنو لقبك؟
C-02-03,What is your nationality?,shinoo jinseetak?,شنو جنسيتك؟
C-02-04,What country were you born in?,biyaa dawla inwaladit?,بيا دولة إنولدت؟
C-02-05,How old are you?,kam ‘umrak?,كم عمرك؟
C-02-06,Do you have an identity card?,‘indak ay haweeya?,عندك أي هوية؟
C-02-07,Show me your identification.,raaweenee haweetak,راويني هويتك
C-02-08,How many people live in this area?,kam waaHid ye’eesh ibhal manTaqa?,كم واحد یعیش بهالمنطقة؟
C-02-09,Who is the leader of this community?,minoo mas-ool hal maHala?,منو مسؤول هالمحلة؟
C-02-10,What is his name?,shinoo isma?,شنو إسمه؟
C-02-11,Please write down his name.,rajaa-an iktib isma,رجاءً إكتب إسمه
C-02-12,Show us the leader.,raaweenaa al mas-ool,راوينا المسؤول
C-02-13,How many men and women live in this community?,kam rijaal oo kam mara ye’eeshoon ibhal maHala?,كم رجال وكم مره يعيشون بهالمحلة؟
C-02-14,How many children live here?,kam Tifil ye’eesh min naa?,كم طفل يعيش منّا؟
C-02-15,Are there schools here for the children?,aku madrasa min naa lil aTfaal?,أكو مدرسة منّا للأطفال؟
C-02-16,Is there enough potable water for the people?,aku maay shurub kaafee lin naas?,أكو ماي شرب كافي للناس؟
C-02-17,Is there a water well?,aku beer maay min naa?,أكو بير ماي منّا؟
C-02-18,Is there a public fountain?,aku naafoora ‘aama?,أكو نافورة عامة؟
C-02-19,Are there any medics here?,aku ay Tabeeb min naa?,أكو أي طبيب منّا؟
C-02-20,Are there any engineers?,aku ay muhandis?,أكو أي مهندس؟
C-02-21,Are there any teachers?,aku ay mu’alim?,أكو أي معلّم؟
C-02-22,Are there empty buildings here?,aku binaayaat faDhya min naa?,أكو بنايات فاضية منّا؟
C-02-23,Is there a local police force?,aku quwaat shurTa maHaleeya?,أكو قوات شرطة محلية؟
C-02-25,Whose responsibility is fire protection?,minoo al mas-ool ‘an il Haraayeq?,منو المسؤول عن الحرايّق؟
C-02-26,Do you have fire fighting equipment?,‘indkum ajhizat aTfaa Hareeq?,عندكم أجهزة أطفاء حريق؟
C-02-27,Do you have a fire engine?,‘indkum sayaarat aTfaa Hareeq?,عندكم سيارة أطفاء حريق؟
C-02-28,Who do you call in case of an accident?,minoo ibtuTlub ibHaalat ‘indak Haadetha?,منو بتطلب بحالة عندك حادثة؟
C-02-29,Are there operational emergency vehicles here?,aku sayaaraat Tawaare min naa?,أكو سيارات طوارئ منّا؟
C-02-30,How many telephones do you have in the area?,kam talefon ‘indkum bil manTaqa?,کم تلفون عندکم بالمنطقة؟
C-02-31,How many homes have telephones here?,kam bayt fee talefon min naa?,کم بيت فيه تلفون منّا؟
C-02-32,Is there a functioning police station?,aku markaz shurTa maftooH?,أكو مركز شرطة مفتوح؟
C-02-33,How many personnel are still on the job?,kam shaKheS ba’adhum bish shughul?,كم شخص بعدهم بالشغل؟
C-02-34,What’s the means of communication?,shinoo wasaa-il il itiSaalaat?,شنو وسائل الإتصالات؟
C-02-35,Can the police station function normally without U.S. assistance?,yigdar markaz ish shurTa yesawee shughla ibshikil Tabee’ee bedoon musaa’adat il- amreekaan?,يگدر مركز الشرطة يسوي شغله بشكل طبيعي بدون مساعدة الأمريكان؟
C-02-36,Can U.S. forces depend on the local police to perform their duties as needed?,tigdar il quwaat il- amreekeeya ti’temid ‘ala ish shurTa il maHaleeya ibtanfeeTh shughlahaa mithil maa huwa maTloob?,تگدر القوات الأمريكية تعتمد على الشرطة المحلية بتنفيذ شغلها مثل ما هو مطلوب؟
C-02-37,How many vehicles are available?,kam sayaara mawjooda?,كم سیارة موجودة؟
C-02-38,What is the telephone number?,shinoo raqum al talefon?,شنو رقم التلفون؟
C-02-39,Do you use radio communications?,hal tista’mal al- itiSaalaat al laasilkeeya?,هل تستعمل الإتصالات اللاسلكية؟
C-03-01,Is there a medical facility nearby?,aku markaz SeHee qareeb min naa?,أكو مركز صحي قريب منّا؟
C-03-02,Are there any doctors in the area?,aku ay Tabeeb bil manTaqa?,أكو أي طبيب بالمنطقة؟
C-03-03,How many beds do you have at the medical facility?,kam sareer ‘indakum bil markaz aS SeHee?,كم سریر عندكم بالمركز الصحي؟
C-03-04,How many people work at the hospital?,kam shaKheS yishtughul bil mustashfa?,كم شخص يشتغل بالمستشفى؟
C-03-05,How many nurses?,kam mumariDh? / kam mumariDha?,كم ممرض؟ / كم ممرضة؟
C-03-06,Has there been any infectious disease in the area lately?,aku maraDh mu’dee bil manTaqa bil fatra il- aKheera?,أكو مرض معدي بالمنطقة بالفترة الأخيرة؟
C-03-07,Is there a pharmacy?,aku Saydaleeya?,أكو صيدلية؟
C-03-08,Is there a building where we could set up a medical facility?,aku binaaya nigdar insaweehaa markaz SeHee?,أكو بناية نگدر نسويها مركز صحي؟
C-03-09,We would like to talk to people about immunization.,inHib niHchee wiyaa in naas ‘an il manaa’a,نحب نحچي ويا الناس عن المناعة
C-03-10,We would like to talk to people about sanitization.,inHib niHchee wiyaa in naas ‘an it ta’qeem,نحب نحچي ويا الناس عن التعقيم
C-03-11,Is there a medical emergency facility?,aku markaz Tawaare SeHee?,أكو مركز طوارئ صحي؟
C-03-12,We have to establish a safe working environment.,laazim in-asis bee-at ‘amal aamna,لازم نأسس بيئة عمل آمنة
C-03-13,We have to hire medical doctors for this facility.,laazim in’ayin aTibaa ilhal markaz,لازم نعيّن أطباء لهالمركز
C-03-14,We have to hire nurses for this facility.,laazim in’ayin mumariDheen ilhal markaz,لازم نعيّن ممرضين لهالمركز
C-03-15,We have to hire office personnel for this facility.,laazim in’ayin muwaDhafeen ilhal markaz,لازم نعيّن موظفين لهالمركز
C-03-16,We have to hire a custodian for this facility.,laazim in’ayin mas-ool ilhal markaz,لازم نعيّن مسؤول لهالمركز
C-03-18,Is the local drinking water potable?,il maay il maHalee SaaliH lil shurub?,الماي المحلي صالح للشرب؟
C-03-19,Who determined that the water is potable?,minoo ilee yiqarir al maay SaaleH lil shurub?,منو إللي يقرر الماي صالح للشرب؟
C-04-01,Who is in charge of repairing roads?,minoo mas-ool ‘an taSleeH al Turuq?,منو مسؤول عن تصليح الطرق؟
C-04-02,Do you have a map of this area?,‘indak KhareeTat hal manTaqa?,عندك خريطة هالمنطقة؟
C-04-03,We will provide assistance in building roads at this location.,iHna raH inqadim musaa’ada litazleeT aT Turuq ibhal makaan,إحنا رح نقدم مساعدة لتزليط الطرق بهالمكان
C-04-04,Can you provide a road map of this area?,tigdar itjahiz KhareeTa lil Turuq maalat hal manTaqa?,تگدر تجهز خريطة للطرق مالت هالمنطقة؟
C-04-05,Do you have any machinery for road building?,‘indukum aalaat il binaa aT Turuq?,عندكم الآت لبناء الطرق؟
C-04-07,We have to set up storage locations for supply materials in the area.,laazim insawee maKhzan lil tajheezaat bil manTaqa,لازم نسوي مخزن للتجهيزات بالمنطقة
C-04-08,Are there any railroad tracks in this area?,aku sichat Hadeed ibhal manTaqa?,أكو سچة حديد بهالمنطقة؟
C-04-09,Do you have transportation facilities in this area?,‘indukum Turuq muwaaSalaat ibhal manTaqa?,عندكم طرق مواصلات بهالمنطقة؟
C-04-10,Are there any airports nearby?,aku ay maTaaraat qareeba min naa?,أكو أي مطارات قريبة منّا؟
C-04-11,Are there any landing fields for smaller aircraft nearby?,aku ay mudarajaat li hubooT aT Tayaaraat aS Sagheera qareeba min naa?,أكو أي مدرجات لهبوط الطيارات الصغيرة قريبة منّا؟
C-04-12,Are there any pipelines in the area?,aku ay anaabeeb bil manTaqa?,أكو أي أنابيب بالمنطقة؟
C-04-13,Is the pipeline fenced off in this area?,il anaabeeb imsayaja ibhal manTaqa?,الأنابيب مسيجة بهالمنطقة؟
C-04-14,Is the traffic heavy in this area?,hal fee izdiHaam ibhal manTaqa?,هل في إزدحام بهالمنطقة؟
C-04-15,Are there bus lines or trains to travel to other places?,aku KhaT baaSaat aw qiTaaraat lis safar iI amaakin thaaneeya?,أكو خط باصات أو قطارات للسفر لأماكن ثانية؟
C-04-16,Are there taxis?,aku takseeyaat?,أكو تكسيات؟
C-04-17,Do these roads get snowed in during the winter?,haay il Turuq yiSeer beehaa thalij bish shitaa?,هاي الطرق يصير بيها ثلج بالشتا؟
C-04-18,How many people own motor vehicles in this area?,kam shaKheS yemlek sayaara ibhal manTaqa?,كم شخص يملك سيارة بهالمنطقة؟
